Task,Programmability,Tacit Knowledge,Concurrent Cognitive Demand,Social and Emotional Inference,Cross-Domain Synthesis,Environmental Variability,Feedback Dependence,Stimulus Response Variability,Precision and Risk,Concurrent Motor Independence,i,j
0,0.5,0.5,1.0,0.5,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.9
1,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.4,0.1
2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
3,0.5,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.4,0.3
4,0.5,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.5,0.4
5,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.5,1.0,0.1,0.8
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.4,0.8
8,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.2,0.8
9,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
10,0.5,0.5,0.0,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.4,0.5
11,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.3,0.7
12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
13,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
14,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.7,0.9
15,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.2
16,0.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.8
17,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.2,0.2
18,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.2,0.2
19,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.2
20,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.1,0.2
21,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
22,0.5,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.5,0.5,0.2,0.5
23,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.6,0.6
24,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.1
25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1
26,0.0,0.5,0.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0,0.4,0.4
27,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.1,0.2
28,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.1,0.3
29,0.5,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
